,Sentence,Target,Opinion,Polarity,Target-Polarity
0,this camera is perfect for an enthusiastic amateur photographer , photographer,['enthusiastic'],['positive'],camera[+2]
1,the pictures are razor-sharp  even in macro , macro,['missing'],['-missing-'],picture[+3] macro[+3]
2,it is small enough to fit easily in a coat pocket or purse ,,['missing'],['-missing-'],size[+2][u]
3,it is light enough to carry around all day without bother , day,['missing'],['-missing-'],weight[+1][u]
4,operating its many features is easy and often obvious - i 'm no annie lebovitz  but i was able to figure out most of its abilities just messing around with it at a camera store , features  obvious,"['many', 'obvious']","['positive', '-missing-']",feature[+2][u]
5,the manual does a fine job filling in any blanks that remain , job,['fine'],['positive'],manual[+2]
6,the auto-focus performs well  but i love having the 12 optional scene modes - they are dummy-proof  and correspond to many situations in which i would actually seek to use the camera , proof  modes  situations  correspond,"['dummy', 'many', 'optional', 'correspond']","['positive', 'positive', '-missing-', '-missing-']",auto focus[+2]scene mode[+2]
7,comes with a 16 mb compact flash and one rechargable battery the charging unit  included  is fast and small , unit  flash  battery  battery,"['rechargable', 'compact']","['-missing-', 'positive']",rechargable battery[+2]
8,i bought a 256 mb cf and a second battery  so it 's good to go on a long vacation , vacation  battery  battery,"['second', 'long']","['negative', 'positive']",
9,i enthusiastically recommend this camera ,,['missing'],['-missing-'],camera[+2]
10,i got my camera three days back  and although i had some experience with digital cameras prior to purchasing this one  i still rate myself as a beginner , cameras,['digital'],['-missing-'],
11,i bought this camera because it fit my budget and the pre-production and production model reviews were positive ,,['missing'],['-missing-'],
12,it 's easy to use  and yet very feature rich , feature  feature,"['rich', 'feature']","['positive', 'positive']",camera[+2][p] use[+1][u] feature[+2]
13,in the auto mode it functions basically as a point and click  the scene modes are very easy to use and produce good results , point  results  produce  click,"['good', 'produce']","['positive', '-missing-']",auto mode[+1]scene mode[+2]
14,the manual mode is feature rich and i can 't wait to get the hang of it , mode  feature  wait,"['manual', 'rich', 'wait']","['-missing-', 'positive', '-missing-']",manual mode[+2]
15,the macro mode is exceptional  the pictures are very clear and you can take the pictures with the lens unbelievably close the subject , subject  mode,['macro'],['-missing-'],macro mode[+3]picture[+3]
16,the battery life is very good  i got about 90 minutes with the lcd turned on all the time  the first time around  and i have been using it with the lcd off every now and then  and have yet needed to recharge it , time  then,"['first', 'using', 'needed']","['positive', 'positive', 'negative']",battery life[+3]
17,the camera comes with a lexar 16mb starter card  which stores about 10 images in fine mode at the highest resolution  i intend to buy a bigger card soon , mode  card  resolution,"['bigger', '16mb', 'fine', 'highest']","['-missing-', '-missing-', 'positive', '-missing-']",
18,i love photography ,,['missing'],['-missing-'],
19,i had an older camera that was simply a point and shoot camera , point  camera  camera,['older'],['negative'],
20,i needed something with more power  so i bought a nikon coolpix 4300 , power,['more'],['-missing-'],
21,i fell in love with this camera  it combines ease of use  with an immense amount of options and power , amount,['immense'],['positive'],camera[+3] use[+1]
22,you can use the scene modes  or fine tune the options  i; you can change the iso level  shutter speed  etc, tune  tune,['fine'],['positive'],
23,this camera is ideal for people who want more power  but do n't want to spend 1000s dollars on a camera , power  want,['more'],['-missing-'],camera[+2]
24,i bought coolpix 4300 two months after i had bought canon powershot s400 ,,['missing'],['-missing-'],
25,reason for two ,,['missing'],['-missing-'],
26,it was not easy sharing one with my teen age kid , sharing,['easy'],['positive'],
27,the two cameras are very similar in functionality and pricing ,,['missing'],['-missing-'],
28,i 've had no problem with canon whatsoever ,,['missing'],['-missing-'],
29,with nikon  although picture qualities are as good as any other 4 mp cameras  i 've had the following headaches, cameras  headaches,['other'],['positive'],picture quality[+1]
30,pictures wo n't transfer to pc directly from the camera using the included transfer cable , cable,['included'],['positive'],transfer[-2]
31,i did everything i could  and it took many days of frustration before concluding that the only way to transfer to pc is with the card reader , way  days,"['only', 'many']","['-missing-', 'positive']",
32,card reader is included ,,['missing'],['-missing-'],
33,the speed is noticeably slower than canon  especially so with flashes on , flashes,['missing'],['-missing-'],
34,with low battery  it twice wiped out the entire pictures in the memory chip , pictures  battery,"['low', 'entire']","['positive', '-missing-']",
35,i used lexar 256 mb and i still use it which means nothing is wrong with lexar , mb,"['lexar', 'use']","['-missing-', 'positive']",
36,be very careful when the battery is low and make sure to carry extra batteries , batteries,"['extra', 'make']","['positive', 'negative']",
37,the other reviewers have clearly pointed all the good things about this camera  which i do agree , reviewers  things,"['good', 'other']","['positive', 'positive']",
38,but there are certain issues might be they are to me here - all of them are minor not major ones though,,['missing'],['-missing-'],
39,this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped , issues  ones  sound,"['major', 'certain']","['-missing-', 'negative']",auto mode[-2]
40,would be really good if they have given an option to stop this autofocussing ,,['missing'],['-missing-'],
41,if you want to have the date  time on the image  its only through their software  nikon view  which reads the images date  time from the images meta-data ,,['missing'],['-missing-'],
42,so if you use your card reader  copy images - you got to onceagain open them through their software to put the date  time ,,['missing'],['-missing-'],
43,in that too  there is n't a direct way to add date  time - you got to say ' print images ' to a different directory in which there is an option to specify the date  time , way  directory,"['direct', 'different']","['negative', 'negative']",
44,even the slightest of the shakes totally distorts your image,,['missing'],['-missing-'],image[-2]
45,images taken indoor were n't so clear ,,['missing'],['-missing-'],indoor image[-2]
46,you got to have flash ' on ' to get it eventhough your room is well lit,,['missing'],['-missing-'],
47,lens cap is a really annoying,,['missing'],['-missing-'],lens cap[-3]
48,go  get a high speed like lexar 12x or higher cf card , speed  go  cap  card,"['annoying', 'high', 'higher']","['negative', 'positive', '-missing-']",
49,"else with simpler viking cf cards  it takes couple of seconds to write a picture with approximately  fine ** picture quality   image size , 1600 ", size  cards,"['fine', 'simpler']","['positive', 'positive']",
50,the movie clips taken will always have some ' noise ' in it - you can 't avoid that ,,['missing'],['-missing-'],movie[-2]
51,but overall this is a good camera with a ' really good ' picture clarity  an exceptional close-up shooting capability , capability  camera  clarity,"['good', 'exceptional']","['positive', 'positive']",camera[+2] picture[+2] close-up shooting[+3]
52,i would rate this is 4;5 stars picture quality  image size defined above are specific to nikon coolpix ,,['missing'],['-missing-'],
53,within a year  there are problems with my menu dial knob ,,['missing'],['-missing-'],menu dial knob[-2]
54,it became stucked which makes it almost impossible to switch between modes ,,['missing'],['-missing-'],
55,i send my camera to nikon for servicing  took them a whole 6 weeks to diagnose the problem , weeks,['whole'],['positive'],servicing[-2]
56,worse of all  they claim that it 's some kind of internal damage and refuse to cover the cost via warranty , damage,"['internal', 'worse']","['-missing-', 'negative']",
57,"they would n't repair my camera unless if i pay $ 100 for parts , and labor ",,['missing'],['-missing-'],
58,it is a good camera in terms of the function and quality  but take your chance with it because nikon absolutely sucks when it comes to customer service , camera  quality  take,['good'],['positive'],camera[+2]customer service[-2]
59,got a  system error  problem 30 days after purchase ,,['missing'],['-missing-'],system error[-2]
60,made the camera totally inoperable ,,['missing'],['-missing-'],camera[-2]
61,also  the lens cap design is flawed ,,['missing'],['-missing-'],lens cap[-2]
62,you have to manually take the cap off in order to use it ,,['missing'],['-missing-'],
63,audio on video also lacking ,,['missing'],['-missing-'],audio[-2]
64,otherwise  it takes very good pictures  shutter delay is n't so bad either , delay,['good'],['positive'],picture[+3]delay[+1]
65,still  had to send it back to nikon for repair ,,['missing'],['-missing-'],
66,i am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world , move  world  piece  piece,['digital'],['-missing-'],
67,nikon 4300  i feel  is the best camera out there for the features and price , camera  price,"['best', 'price']","['positive', 'positive']",camera[+3]
68,here were my requirements in a digital camera , camera,['digital'],['-missing-'],
69,i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6  or 5x7  prints and i wanted some really great 8x10  photos once in a while , camera  photos  3,"['megapixel', 'great', '3']","['-missing-', 'positive', '-missing-']",
70,i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that , camera  comfortable,['small'],['negative'],
71,i wanted a decent sized camera with a contour for my fingers to hold it steadily , camera,"['sized', 'decent']","['negative', 'positive']",
72,i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography skills although  i am an amateur with an interest in photography by turning on the manual settings , types  settings,"['manual', 'different']","['-missing-', 'negative']",
73,and  of course  i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much , brand  camcorder  stay,"['expensive', 'respected']","['positive', '-missing-']",
74,depending on all the above requirements  i had narrowed down my search to nikon 4300 and canon powershot s400 models , requirements,['above'],['-missing-'],
75,nikon got the final nod for its settings auto and manual along with movie modes  medium compact size  price  brand name  good software that is included and previous reviews , size  nod  reviews  software,"['good', 'compact', 'final', 'medium', 'previous', 'reviews']","['positive', 'positive', '-missing-', '-missing-', '-missing-', '-missing-']",
76,i should say i have been very happy with my decision ever since ,,['missing'],['-missing-'],
77,the pictures are absolutely amazing - the camera captures the minutest of details ,,['missing'],['-missing-'],picture[+3]
78,a few things that might make it even better , things,['few'],['-missing-'],
79,pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance , setting,['indoor'],['-missing-'],indoor picture[-1]
80,it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow , waiting,"['impatient', 'little', 'seen']","['negative', 'negative', 'negative']",delay[-2][u]
81,the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture , moment  process,"['entire', 'hazy']","['-missing-', 'negative']",picture[-2]
82,all the above  i think  are problems with all the digital cameras out there and so i have no major complaints , cameras  complaints,"['major', 'digital']","['-missing-', '-missing-']",
83,try to buy a tripod and that should solve some of those problems ,,['missing'],['-missing-'],
84,whichever camera you buy  add upto about 200 dollars for an additional memory card i bought a 256 mb card  usb card reader  camera bag and the warranty , card  warranty,['additional'],['-missing-'],
85,and finally  get your pictures developed at a kodak picture maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness , one  brightness,"['extra', 'little']","['positive', 'negative']",
86,hope this review has helped you in making up your mind ,,['missing'],['-missing-'],
87,i have taken about 150 photographs so far and have absolutely loved the experience ,,['missing'],['-missing-'],
88,i am looking forward to my vegas trip for some great photographs now , photographs,['great'],['positive'],
89,with our compact 35mm broken  and a vacation in europe at hand  i finally decided to enter the digital age , age  mm,"['compact', 'digital']","['positive', '-missing-']",
90,i first intended to buy the 3100  but am really happy to invest the extra money for the 4300 , money,['extra'],['positive'],
91,the lense is a lot better  and the 4mb produce fantastic pictures , pictures,"['fantastic', 'produce']","['positive', '-missing-']",
92,"the possibilities with auto  manual  and the very helpful  scene  mode  which offers 11 optimized situational settings like portrait  landscape  beach / snow  sunset etc, are endless ", mode  settings  etc,"['helpful', 'situational', 'mode']","['positive', '-missing-', 'positive']",auto mode[+2] manual mode[+2] scene mode[+2]
93,the movie mode is also working great ,,['missing'],['-missing-'],movie mode[+2]
94,the 4300 comes with excellent easy to install software i use it on xp and win98 without problem  battery charger  usb and video cable , win98,['win98'],['-missing-'],software[+3]
95,a 64mb flash card camera comes with a 16mb holds 52 pictures on  normal  resolution , resolution  camera,"['64mb', 'normal']","['-missing-', 'negative']",
96,i experimented with online print ordering with the two major us brick and mortar retailers  and they both delivered great results , print  retailers  results,"['major', 'online', 'great']","['-missing-', '-missing-', 'positive']",print[+2]
97,"even at the  normal  setting  a 8x10 print , shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a  digital  ", sign  rendering  pixels,"['single', 'visible']","['-missing-', 'negative']",print[+3]
98,the battery life is ok  but can be somewhat short when working a lot with the monitor on , short,['missing'],['-missing-'],battery life[+1]
99,i therefore bought a second battery as a backup  and due to the lightingfast charging with the included charger  which by the way works on 110v as well as 220v in europe  we ran never out of  juice  , charger  battery,['second'],['negative'],
100,i highly recommend the accessory kit  which provides you with everything else you need ,,['missing'],['-missing-'],
101,a nice camera bag  which holds camera plus all the cables and the charger , bag  charger  cables,['nice'],['positive'],
102,furher it contains a card reader  a flash card folder for up to 8 cards  a lense cleaning rag  and an ac adapter  which is very helpful when working in an  outlet environment  , rag,['furher'],['-missing-'],
103,over all a fantastic very compact camera  which made us experience photography on a totally new level , camera  level,"['new', 'fantastic', 'compact']","['positive', 'positive', 'positive']",camera[+3]
104,after reading all the glowing review on this camera  i went to my local camera shop to try one , shop  review,"['glowing', 'local']","['positive', '-missing-']",
105,i currently own an olympus d-550 which takes wonderful outdoor pictures , pictures,"['outdoor', 'wonderful']","['-missing-', 'positive']",
106,however  indoor pictures of subjects more than a few feet away can be blurry or grainy , pictures,"['more', 'indoor']","['-missing-', '-missing-']",
107,anyway  in the store  i tried coolpix 4300 along with two other 4mp models minolta dimage s414  and panasonic lumix , models,['other'],['positive'],
108,focusing on a display rack about 20 feet away in a brightly lit room during day time  pictures produced by this camera were blurry and in a shade of orange , room  rack,['missing'],['-missing-'],picture[-2]
109,pictures produced by the minolta were orange but not blurry ,,['missing'],['-missing-'],
110,pictures produced by the panasonic were excellent ,,['missing'],['-missing-'],
111,the store clerk concluded that the blurriness may be caused by shaking the camera slightly when i press the button  which is understandable since this camera is lighter than the other two models , models,['other'],['positive'],
112,anyway  i ended up purchasing the lumix ,,['missing'],['-missing-'],
113,i 'm sure that this camera has all the wonderful features that others talk about , features,['wonderful'],['positive'],
114,however  as an average person with unsteady hands  i doubt it 'll perform well in lower light settings , person  hands  settings,"['lower', 'average', 'light', 'unsteady']","['positive', '-missing-', 'positive', 'negative']",
115,i purchased the nikon 4300 after several weeks of searching , weeks,['several'],['-missing-'],
116,the value  name  and resolution signed the lease ,,['missing'],['-missing-'],
117,after nearly 800 pictures i have found that this nikon takes incredible pictures , pictures,['incredible'],['positive'],picture[+3]
118,the digital zoom takes as good of pictures  as the optical zoom does , zoom,"['good', 'optical', 'digital']","['positive', '-missing-', '-missing-']",digital zoom[+2]optical zoom[+2]
119,the inside pics  can be a bit challenging  but when you can instantly delete pics you dont like  that are not focused perfectly  or need lighting adjustments  make this camera very simple and effective , pics,"['inside', 'effective']","['-missing-', 'positive']",picture[-2]
120,i love all of the features  and presets as well , presets,['missing'],['-missing-'],feature[+3]
121,sunset feature takes incredible pics in the morning  and the evening , pics,"['incredible', 'evening']","['positive', '-missing-']",sunset feature[+3]
122,the software you get with this camera is perfect ,,['missing'],['-missing-'],software[+3]
123,touchups  redeye  and so on are very easy to alter  and correct ,,['missing'],['-missing-'],touchup[+2] redeye[+2]
124,i definately recommend a large memory card , card,['large'],['positive'],
125,"i use a 128mb card  and usually get around 70 to 100 pics 1024-1280 res,  with good resolution ", resolution  get,"['good', 'get']","['positive', 'positive']",
126,very large pics take 8mb each , pics,['large'],['positive'],
127,battery life is good  although i recommend two rechargebles  or a alkaline backup  for those emergency pics you have to have ,,['missing'],['-missing-'],battery life[+2]
128,all and all  i am extremely pleased with this camera , pleased,['pleased'],['positive'],camera[+3]
129,making the step from film to digital has been a great move , move,['great'],['positive'],
130,i find myself emailing pics to everyone i know ,,['missing'],['-missing-'],
131,great camera  great investment , investment,['great'],['positive'],camera[+3]
132,this is my second digital camera  though i also use one at work and have some experience with several nikon and canon models , camera  models  have,"['second', 'several', 'digital', 'have']","['negative', '-missing-', '-missing-', 'positive']",
133,the nikon coolpix 4300 is wonderful -- easy to use  high quality  and compact in size , quality  compact,"['high', 'compact']","['positive', 'positive']",use[+1][u]quality[+2]size[+1]
134,with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation , cards  battery  couple,"['extra', 'sized', 'good']","['positive', 'negative', 'positive']",
135,the auto setting does a great job most of the time but there are manual settings for those who want them , job  settings,"['manual', 'most', 'great', 'are']","['-missing-', 'positive', 'positive', 'positive']",auto setting[+2]
136,if something were to happen to my nikon coolpix 4300  i would order another just like it ,,['missing'],['-missing-'],
137,after much research i decided on the nikon coolpix 4300 , research,['much'],['-missing-'],
138,it has many great features and very few bad ones , ones  features  ones,"['few', 'many', 'great', 'bad', 'ones']","['-missing-', 'positive', 'positive', 'negative', 'positive']",camera[+2][p]
139,it takes excellent pics and is very easy to use  if you read the manual , pics,"['excellent', 'easy']","['positive', 'positive']",picture[+2]ease of use[+2]
140,if you cant get great pics from this camera its because you havent read the manual , pics,['great'],['positive'],
141,the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too , things,['only'],['-missing-'],lcd[-1]
142,downloads are a snap and quick ,,['missing'],['-missing-'],download[+2]
143,controls easy yo use and easy to get to , use  easy,"['easy', 'easy']","['positive', 'positive']",control[+2]
144,i 'm extremely glad i bought this camera ,,['missing'],['-missing-'],camera[+3]
145,really happy with this little camera , camera,['little'],['negative'],camera[+3]
146,it is n't big and offensive  though you would n't know it by looking at the pics it takes ,,['offensive'],['negative'],size[+2][u]
147,got it for christmas  still learning a few of the settings  but i do n't take pictures every single day , day,['single'],['-missing-'],
148,settings for just about everything  beautiful pics and beautiful prints , prints  everything  pics  prints,['beautiful'],['positive'],picture[+2]print[+2]
149,i expected the 12x digital zoom to be grainy  but onfull size high to fine quality  the zoomed images are quite impressive , quality  zoom  size  images,"['high', 'fine', 'digital']","['positive', 'positive', '-missing-']",zoomed image[+2]
150,did buy a 256mb compact flash  it holds a lot of pics at any resolution , flash,"['256mb', 'compact']","['-missing-', 'positive']",
151,i only wish you could get high quality tiff images at all resolutions  but does n't seem any of the buget cameras do , quality  seem,['high'],['positive'],
152,still  at least from my perspective  a great camera for the money  and i 'm a happy camper , camera  camper  perspective  camper,"['happy', 'great']","['positive', 'positive']",camera[+2]
153,this is a wonderful camera , camera,['wonderful'],['positive'],camera[+2]
154,my wife and i read and read and read reviews on different cameras for months , cameras,['different'],['negative'],
155,in the end this is the one that we decided upon and since have never had buyer 's remorse ,,['missing'],['-missing-'],
156,4 mp gives you room for the future gaining experience  cost offsets over time from wanting more in a camera  3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price , package  3x  reputation,"['quality', 'optical', 'whole']","['positive', '-missing-', 'positive']",4mp[+2]optical zoom[+2]
157,one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting , conditions  thing  rooms  lighting,"['neat', 'impossible', 'ample', 'black']","['positive', 'negative', 'positive', 'negative']",picture[+2]
158,"this little camera has created a marriage between myself and nikon, never knew i could love a digital camera so much ", camera,"['digital', 'little']","['-missing-', 'negative']",camera[+3]
159,"the software that comes with it is amazing and the online service that comes free is really very neat, clean clear and well focused on over 95 % of all photos taken by a beginner ", service,"['online', 'clean', 'free']","['-missing-', 'positive', 'positive']",software[+3] online service[+2]
160,100 % perfect if you put some thought and time into reading the manual before you take the photos ,,['missing'],['-missing-'],
161,i took the camera and just gave it to someone ,,['missing'],['-missing-'],
162,no instructions ,,['missing'],['-missing-'],
163,just point and shoot and the photos were great , point  great  shoot,['missing'],['-missing-'],photo[+2]
164,just imagine if you place a bit of knowledge when you take your photos ,,['missing'],['-missing-'],
165,the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla , installed,['missing'],['-missing-'],memory card[+2]
166,my pda becames a digital album , album,['digital'],['-missing-'],
167,i have a 128mb card in it and can shoot over 150 hi res photos , res  shoot,['hi'],['positive'],
168,if you have to buy a camera on a buget this has got to be the one ,,['missing'],['-missing-'],camera[+2]
169,go get it ,,['missing'],['-missing-'],
170,before they are sold out ,,['missing'],['-missing-'],
171,great camera  i have been using this for several months and got excellent results  simple friendly usage  in many scenes indoor  outdoor  snow  close up macro etc, snow  usage  results  months  scenes  camera,"['excellent', 'macro', 'simple', 'friendly', 'many', 'outdoor', 'several', 'indoor', 'great', 'got']","['positive', '-missing-', 'positive', 'positive', 'positive', '-missing-', '-missing-', '-missing-', 'positive', 'negative']",camera[+2]
172,i bought my nikon coolpix4300 about a week ago ,,['missing'],['-missing-'],
