,Sentence,Target,Opinion,Polarity,Target-Polarity
173,this is my first digital camera and i can say that i am quite impressed with the features that it has , camera  say,"['first', 'digital']","['positive', '-missing-']",camera[+3] feature[+2]
174,it is easy enough to use for a beginner like me but it has plenty of features for me to grow into , has,['has'],['positive'],use[+2][u]
175,i particularly like the way it aids me in taking my macro shots ,,['missing'],['-missing-'],macro[+2]
176,my friends were impressed with the quality of the pictures i took ,,['missing'],['-missing-'],picture quality[+2]
177,one downside though is that autofocus does not work well when battery is low ,,['missing'],['-missing-'],autofocus[-2]
178,i assume this is the case for most cameras since it does not have enough power to do autofocus , power  cameras,"['enough', 'most']","['positive', 'positive']",
179,battery life is ok ,,['missing'],['-missing-'],battery life[+1]
180,i plan on buying a second battery and a larger cf for it , cf  battery  cf,"['second', 'larger']","['negative', '-missing-']",
181,great camera  and for the price you can 't beat it , camera  price,['great'],['positive'],camera[+2]
182,i 've been using it for about 3 months now ,,['missing'],['-missing-'],
183,i found the controls very intuitive and learned how to manuver through the menus quickly , learned,['missing'],['-missing-'],control[+3]
184,the quality is superb ,,['missing'],['-missing-'],quality[+3]
185,the small size is perfect for my little hands  but may perhaps be uncomfortable or awkward for a bigger person , size  person  hands,"['bigger', 'small', 'little', 'uncomfortable', 'awkward']","['-missing-', 'negative', 'negative', 'negative', 'negative']",size[+2]
186,we use older versions 880  885 of this model in the office and i find them to produce excellent quality photos , versions  photos  find,"['excellent', 'older', 'find']","['positive', 'negative', '-missing-']",
187,the 4300 is a very durable  compact package  and i find nikon to be a brand that i can trust , package  find,"['durable', 'compact']","['positive', 'positive']",nikon 4300[+3]
188,it comes with a 16mb flash card that you will need to upgrade , card,['16mb'],['-missing-'],
189,we got a 256mb card  and have been hard-pressed to fill it over a weekend ,,['missing'],['-missing-'],
190,the only drawbacks that i have noticed , drawbacks,['only'],['-missing-'],
191,it comes with a rechargable battery that does not seem to last all that long  especially if you use the flash a lot , battery,['rechargable'],['-missing-'],battery[-2]
192,so  it 's a good idea to purchase an extra battery to insure that you are not left hanging , idea  battery,"['good', 'extra']","['positive', 'positive']",
193,it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light , light  situations,"['low', 'light']","['positive', 'positive']",auto-focus assist light[-1]
194,i would say that this is not a major issue  but it can be slightly annoying if you care about these things , issue  annoying,['major'],['-missing-'],
195,it has a 3x optical zoom  which is average for these cameras , zoom,['optical'],['-missing-'],optical zoom[-1]
196,"for more  you sacrifice weight and size , more optical zoom requires more glass and focal length ", zoom  glass  length  size  length,"['more', 'optical', 'focal']","['-missing-', '-missing-', '-missing-']",
197,it does have a digital zoom on top of the optical zoom  but you sacrifice quality , zoom  sacrifice,"['optical', 'digital']","['-missing-', '-missing-']",
198,i set the camera to the  manual  mode for one main reason , mode  reason,"['main', 'manual']","['-missing-', '-missing-']",
199,in any other mode it autofocuses continuously and burns batteries , mode,['other'],['positive'],
200,in manual  you can set it to  single af  where it will focus by depressing the shudder button prior to taking the pic  this is not really a hinderance  you just have to be familiar with its menus and features , hinderance  af,"['familiar', 'single']","['negative', '-missing-']",
201,in reality  these are the only drawbacks this camera has  much less than many other models , models  drawbacks,"['only', 'many', 'other']","['-missing-', 'positive', 'positive']",
202,it is easy to  focus  in on the drawbacks  so do n't think i hate this camera ,,['missing'],['-missing-'],
203,it really is an awesome camera that is hard to beat for general-to moderate snapping , camera,['awesome'],['positive'],camera[+3]
204,for work  we use them in the field often  and they hold up really well , hold,['missing'],['-missing-'],
205,they take excellent macro shots as well , shots,"['excellent', 'macro']","['positive', '-missing-']",macro[+2]
206,the menus and features are easy to manipulate and access  and it takes silent movies , movies  takes,"['silent', 'takes']","['positive', 'positive']",menu[+2]
207,i compared this to a lot of other cameras  believe me  it 's value for money , cameras,['other'],['positive'],camera[+2]
208,the picturers are amazing ,,['missing'],['-missing-'],picture[+3]
209,do n't waste time looking at anything else  just buy this one ,,['missing'],['-missing-'],
210,it do n't get any better then the nikon 4300 ,,['missing'],['-missing-'],
211,i am a nikon fan  and owned and used slr nikon fe  n50 and n90s for many many years , years,"['many', 'used', 'owned']","['positive', 'negative', 'positive']",
212,"recently bought this coolpix 4300 along with a 256mb ultra flash card , as expected  i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models  and with added convenience of a digital camera that you can see pictures immediately ", functions  combos  card  convenience  camera  convenience  combos  similar,"['friendly', 'fine', '256mb', 'digital', 'convenience', 'combos', 'similar']","['positive', 'positive', '-missing-', '-missing-', 'positive', '-missing-', '-missing-']",picture quality[+2]function[+2]
213,i particularly like the  txt  file which records all the control information for all the pictures you take,,['missing'],['-missing-'],txt file[+2]
214,the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them , children  pictures  camera  take,"['many', 'little', 'compact', 'digital', 'take']","['positive', 'negative', 'positive', '-missing-', 'positive']",size[+2][u]
215,try to buy a high capacity ultra card  as it 's 2x as faster as the regular cf card , card  2x  capacity,"['high', 'regular']","['positive', 'negative']",
216,consider the time you save during picture taking especially not missing a good moment and during download  it 's well worth the little extra money , money  moment,"['good', 'extra', 'little']","['positive', 'positive', 'negative']",
217,an extra rechargeable en-el 1 battery is also handy  so you will seldom run into  out of battery  situation , battery,"['extra', 'rechargeable']","['positive', '-missing-']",
218,use the rechargeable because that saves you money and helps the environment in a long run , run,['long'],['positive'],
219,one thing puzzles me is that for  fine and 2200 +  quality pictures  one ultra 256mb cf card can only hold 130-140 pics  but the size of the pictures are only around 1;2 mb  the math does not add up , size,['pictures'],['positive'],
220,i would expecct the card to hold over 200 pictures for size of 1;2 mb/per ,,['missing'],['-missing-'],
221,anybody can explain that ,,['missing'],['-missing-'],
222,a nikon will make you happier and leave you lots of good memories  as always , memories,"['good', 'leave']","['positive', '-missing-']",nikon[+3]
223,i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate , pictures  camera,"['good', 'great', 'digital']","['positive', 'positive', '-missing-']",camera[+3]picture[+2]
224,we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken , ways  allows  amazed,"['different', 'amazed']","['negative', 'positive']",picture quality[+2]
225,i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down;now buy it , way,['same'],['-missing-'],camera[+3]
226,"first of all  let 's start with my needs , 1 $ 500 budget 2 4mp resolution  3 optical clarity and color  4 fast - very little shutter lag and quick sep-up for next picture  5 compact size  and 6 good camera grip to minimize camera shake ", up  grip  size  picture  clarity  lag  color  grip,"['good', 'compact', 'little', 'quick', 'optical', 'next', 'grip']","['positive', 'positive', 'negative', 'positive', '-missing-', 'negative', 'negative']",
227,for three months  i 've researched the internet and magazines  queried various sales personnel  and took hands-on in-store test drives , personnel,['various'],['-missing-'],
228,and i finally settled on the nikon coolpix 4300 ,,['missing'],['-missing-'],
229,i have it for a week now  and this camera has exceeded my expectations , exceeded,['missing'],['-missing-'],camera[+3]
230,the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away , feet  shots,['indoor'],['-missing-'],picture[+2]indoor shot[+1]
231,the shutter lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame advance is about a couple seconds using a high speed 12x 128mb compact flash card a salesperson recommended the high speed card since next frame advance speed was important to me - and it was only a few dollars more , dollars  card  speed  advance  couple  advance  mm,"['high', '128mb', 'next', 'compact']","['positive', '-missing-', 'negative', 'positive']",
232,uploading the images to my windows-based pc is very fast and simple , pc,['missing'],['-missing-'],image download[+2][u]
233,"the only drawbacks i 've encountered are , 1 indoor shots from a distance > 8ft lack contrast and color  but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon slr ", flashes  slr  drawbacks  shots  found,"['only', 'indoor']","['-missing-', '-missing-']",indoor shot[-1]
234,right now  i 'm researching for an inexpensive slave flash unit that 's designed for digital cameras , cameras  unit,"['inexpensive', 'digital']","['positive', '-missing-']",
235,2 the battery life seems to be on the short side but adequate for most situations , side  situations  adequate,"['short', 'most', 'adequate']","['negative', 'positive', 'positive']",battery life[-1]
236,i got 45 outdoor and 15 indoor shots with the monitor on turning the camera off and on over a 4 hour period before the battery died , shots,['indoor'],['-missing-'],
237,an extra for a back-up battery would be a good investment , investment  battery,['good'],['positive'],
238,3 the picture editing software it came with is adequate  but not very robust , robust,['robust'],['positive'],software[-1]
239,i 'll still use my photosuite for editing ,,['missing'],['-missing-'],
240,one more thing about indoor shots - many of the reviews knocked this camera for low light focusing , thing  light  shots,"['more', 'indoor', 'low']","['-missing-', '-missing-', 'positive']",
241,just for the heck of it  i took it into my dark kitchen with only indirect light coming in though the door  and the focusing was just fine , heck  light  kitchen,"['indirect', 'dark', 'fine']","['-missing-', 'negative', 'positive']",
242,in summary  i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range , point  price,"['high', 'medium']","['positive', '-missing-']",camera[+3]
243,- since i wrote the review above in january 2003  i still love this camera ,,['missing'],['-missing-'],
244,i 've picked up a few accessories that i found to be useful , accessories,['few'],['-missing-'],
245,i bought a digi-slave dsf-1s flash unit ,,['missing'],['-missing-'],
246,i do n't use a bracket  i just hold it above my head and aim the flash with my left hand , hand  aim,"['left', 'aim']","['negative', 'positive']",
247,i also got a ur-e 4 step down ring adapter  lc-e 900 lens cap  and the nikon 28mm filter set ,,['missing'],['-missing-'],
248,this provides added protection for the camera lens and allows the use of filters , protection  allows,['added'],['-missing-'],
249,i leave the adapter and uv filter on all the time , uv,['missing'],['-missing-'],
250,this also allows you to turn on the camera on without having to remove the lens cap ,,['missing'],['-missing-'],
251,the downside is that you might accidentally take pictures with the lens cap on  the camera wo n't fit in the small cases  and 28mm filters are expensive and hard to find , cases  filters,"['small', 'hard']","['negative', 'positive']",
252,great camera , camera,['great'],['positive'],camera[+2]
253,i am impressed with how easy this camera is to use ,,['missing'],['-missing-'],use[+2]
254,it takes great pictures , pictures,['great'],['positive'],picture[+2]
255,the manual is easy to understand  and it is mostly idiot proof , proof  proof,['proof'],['positive'],manual[+2]
256,it is small  unlike my canon slr  so it easily fits in my pocket ,,['missing'],['-missing-'],size[+2][u]
257,i have not yet figured out how to make it snap quick pictures for action shots , pictures,['quick'],['positive'],
258,now where did i put that manual ,,['missing'],['-missing-'],
259,do n't let my five star rating fool you ,,['missing'],['-missing-'],
260,the nikon coolpix 4300 deserves six ,,['missing'],['-missing-'],
261,i got this camera about a month ago and i can 't put it down ,,['missing'],['-missing-'],camera[+3]
262,i was considering buying the minolta f-100 and the sony dsc-p 9  but at the camera shop  realized this one went above and beyond , p,['missing'],['-missing-'],
263,i selected the 4300 right away and have gotten high quality pictures every time , pictures,['high'],['positive'],picture quality[+2]
264,autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all , challenge  mode  camera  mode,"['manual', 'little', 'mode']","['-missing-', 'negative', 'positive']",autofocus[+1]scene mode[+1]manual mode[+1]
265,i would also recommend buying an extra battery and at least a 128 mb compact flash type i memory card , type  card  battery,"['extra', 'compact']","['positive', 'positive']",
266,buy this camera and savour it ,,['missing'],['-missing-'],
267,i reviewed several digital cameras before settling on this one , cameras,"['several', 'digital']","['-missing-', '-missing-']",
268,this one was rated very high by several people check out this site and epinions;com , people,['several'],['-missing-'],
269,i have not been disappointed with my purchase ,,['missing'],['-missing-'],camera[+2][p]
270,picture quality in outdoor settings is indistinguishable from 35mm , settings,['outdoor'],['-missing-'],picture quality[+2]
271,on average  indoor shots with a flash are not quite as good as 35mm , shots,"['indoor', 'average']","['-missing-', '-missing-']",indoor shot[-2]
272,however  the convenience of using digital far outweighs the slightly less accurate indoor pictures , pictures,"['accurate', 'indoor']","['positive', '-missing-']",
273,i am extremely satisfied with this camera ,,['missing'],['-missing-'],camera[+3]
274,i purchased it from amazon on a since discontinued promotion ,,['missing'],['-missing-'],
275,buy an extra battery - life is good but still somewhat short , life,"['extra', 'short']","['positive', 'negative']",
276,do n't buy this camera if you are not going to purchase a 128 megabyte card ,,['missing'],['-missing-'],
277,you need the storage to hold a decent amount of shots at 4 megapixel resolution , amount,['decent'],['positive'],
278,i have one thing to say to the numbskulls who complain that this camera 's controls are confusing and hard to remember ,,['missing'],['-missing-'],
279,read the directions ,,['missing'],['-missing-'],
280,the regular mode in this camera works for 80 % of settings , mode,['regular'],['negative'],
281,the  scene  mode works well for the remainder of shots that are not going to be in a  regular  setting , setting,['regular'],['negative'],scene mode[+2]
282,i wish the camera had a higher optical zoom so that i could take better wildlife photos , zoom  photos,"['higher', 'optical', 'better']","['-missing-', '-missing-', 'positive']",
283,however  its 3x optical setting is acceptable for 70 % of the shots that i take , setting,['optical'],['-missing-'],optical setting[+1]
284,buy this camera  you wo n't regret it ,,['missing'],['-missing-'],
285,if you 're looking for a small  compact  super resolution digital camera  you can end your search with the nikon 4300 , resolution  camera,"['super', 'compact', 'small', 'digital']","['positive', 'positive', 'negative', '-missing-']",camera[+2]
286,after a lengthy and extensive journey for a feature-loaded  high performance  travel size camera  i initially gravitated to this little gem because of the superior picture quality 4 mega pixel , journey  pixel  gem  quality  camera  performance,"['high', 'little', 'mega', 'superior', 'lengthy', 'extensive']","['positive', 'negative', '-missing-', 'positive', 'negative', '-missing-']",picture quality[+3]
287,after using it for about a month  i can state unequivocably that this nikon definitely delivers a huge bang for the buck , bang,['huge'],['-missing-'],nikon[+3]
288,its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake , icing  fun  lenses  angle,"['wide', 'sheer', 'proverbial']","['-missing-', '-missing-', '-missing-']",use[+1] accessory[+2]
289,yes  the picture quality and features which are too numerous to mention are unmatched for any camera in this price range , features,['features'],['-missing-'],picture quality[+3]feature[+3]
290,the design and construction are excellent -- as is the legendary quality of the nikon optics , quality,"['legendary', 'construction']","['positive', '-missing-']",design[+2]construction[+2]optic[+2]
291,i own a 35mm slr camera and this is my second digital ,,"['second', 'digital']","['negative', '-missing-']",
292,if you 're seeking that elusive state of photographic euphoria that is free of buyer 's remorse and filled with cool  then travel to the world of the coolpix 4300 , euphoria  state,"['photographic', 'elusive', 'filled']","['-missing-', '-missing-', 'negative']",
293,had it for a week ,,['missing'],['-missing-'],
294,there are so many functions in this little  yet powerful camera , camera  functions,"['many', 'powerful', 'little']","['positive', 'positive', 'negative']",camera[+2]
295,"seriously , i love it ",,['missing'],['-missing-'],camera[+3][p]
296,my room is so dark and when i tried taking pics of it with my old camera  they came out black  but with this  they look the same in the picture as in real life , camera  life  look,"['real', 'old']","['positive', 'positive']",
297,better actually cause my carpet looks clean  lol ,,['missing'],['-missing-'],
298,but this camera is great ,,['missing'],['-missing-'],camera[+2]
299,the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to , movies,"['silent', 'connect', 'make']","['positive', 'positive', 'negative']",picture quality[+3]movie[+1]
300,i can 't connect it to my computer though  but that 's a problem with windows me  not the camera ,,['missing'],['-missing-'],
301,if you have windows me you should upgrade to xp anyway  lol ,,['missing'],['-missing-'],
302,but it works perfectly fine on my parent 's computer ,,['missing'],['-missing-'],
303,it does have a lense cap  but it wo n't let you take pics with it on which is real good , let,['real'],['positive'],lense cap[+1]
304,the battery recharges ral fast and the recharger thingy that comes with is real nice ,,['real'],['positive'],battery[+2]
305,"ooh  and i dropped it and it still works fine , this little camera has so many features i have n't even gotten to all of them yet ", camera  features,"['many', 'fine', 'little']","['positive', 'positive', 'negative']",camera[+2]
306,i did quite a bit of research before buying this camera  and this one had everything i was looking for ,,['missing'],['-missing-'],
307,it 's easy for beginners to use  but has features that more serious photographers will love  so it 's an excellent camera to grow into , photographers  camera  has,"['excellent', 'serious', 'has']","['positive', 'negative', 'positive']",use[+1]feature[+2] camera[+2]
308,it 's light weight enough to take with you everywhere  but powerful enough to get outstanding pix , weight  pix  enough,"['outstanding', 'light', 'powerful']","['positive', 'positive', 'positive']",weight[+2] picture[+2][u]
309,i love the continuous shot mode  which allows you to take up to 16 pix in rapid succession -- great for action shots , succession  mode,"['continuous', 'rapid', 'great']","['negative', 'positive', 'positive']",continuous shot mode[+3]
310,i 'm amazed at the photo quality -- prints are indistinguishable from 35mm prints ,,['missing'],['-missing-'],photo quality[+3]print[+2]
311,i only have one complaint  and that is the 8mb card included , card,['missing'],['-missing-'],8mb card[-2]
312,8mb for a camera like this is a joke ,,['missing'],['-missing-'],8mb[-2]
313,a card with more memory is a must , memory,['more'],['-missing-'],
314,a minor quibble  since most cameras on the market still only include the 8mb cards , cameras,"['minor', 'most']","['-missing-', 'positive']",
315,if you do any research into digital cameras  you 'll quickly find that this camera is just about the best value out there , cameras  camera  value,"['best', 'digital']","['positive', '-missing-']",
316,these are the reasons i think it 's great ,,['missing'],['-missing-'],
317,1 it has all the features an amatuer photo-enthusiast would want ,,['missing'],['-missing-'],feature[+2]
318,2 it is easy enough for my grandmother to use ,,['missing'],['-missing-'],use[+2]
319,3 it is very compact but the controls are so well designed that they 're still easy to use , designed,['designed'],['negative'],size[+2][u]control[+2]
320,4 it has optional lenses like wide angles and extra zooms , lenses  angles  zooms  zooms,"['extra', 'wide', 'optional']","['positive', '-missing-', '-missing-']",
321,5 for  digital film  it uses compact flash cards  which are easy to find  cheap  reliable and supported by many other devices you may have at hoome , devices  film  cards,"['compact', 'other', 'many', 'cheap', 'easy', 'digital']","['positive', 'positive', 'positive', 'positive', 'positive', '-missing-']",
322,6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model , line  model,['newer'],['-missing-'],nikon support[+1]
323,7 picture quality is excellent ,,['missing'],['-missing-'],picture quality[+2]
324,8 battery life is excellent ,,['missing'],['-missing-'],battery life[+2]
325,9 3x built-in optical zoom is a lot for this price range , zoom,['optical'],['-missing-'],optical zoom[+2]
326,10 great price for all the features , price,['great'],['positive'],price[+2]
327,here 's what you may miss or be annoyed by with this camera ,,['missing'],['-missing-'],
328,1 no direct firewire to the camera , firewire,['direct'],['negative'],firewire[-1]
329,there is usb  though ,,['missing'],['-missing-'],
330,2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68  the optical viewfinder is partially obscured , viewfinder  angle,['optical'],['-missing-'],viewfinder[-1]
331,this does n't affect the picture  of course ,,['missing'],['-missing-'],
332,you just have to use the lcd viewfinder to see the whole picture , picture,['whole'],['positive'],
333,it 's no problem for me personally ,,['missing'],['-missing-'],
334,3 battery has to be removed to recharge ,,['missing'],['-missing-'],
335,4 an ac adapter for powering the camera while the battery 's out is not included  although one can be purchased separately ,,['missing'],['-missing-'],
336,5 two different adapters -- ur-e 4 and ur-e 7 -- are required for some attachment lenses , adapters  e,"['different', 'e']","['negative', 'positive']",
337,most of these  annoyances   though  are comparable to what you 'll find on other cameras in this price range , cameras,['other'],['positive'],
338,i am new to the whole digital camera thing  well  new to the whole camera thing period  really , thing,"['whole', 'new', 'digital']","['positive', 'positive', '-missing-']",
339,this camera was affordable  very easy to learn  and produces spectacular images , images,"['easy', 'spectacular']","['positive', 'positive']",price[+2][u]learn[+2]image[+3]
340,the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual , mode  modes  shots  mode,"['manual', 'most', 'versatile', 'boasts']","['-missing-', 'positive', 'positive', '-missing-']",auto mode[+2]scene mode[+2]manual mode[+2]
341,it 's size also makes it ideal for travel ,,['missing'],['-missing-'],size[+2]
342,overall the nikon 4300 is a very dependable  robust  and useful little camera , camera,"['robust', 'little', 'dependable', 'useful']","['positive', 'negative', 'positive', 'positive']",camera[+3]
343,awesome camera with huge print quality in a tiny package , quality  camera  package,"['awesome', 'tiny', 'huge']","['positive', 'positive', '-missing-']",camera[+3] print quality[+3]
344,the same 4mp chip from the 4500 camera  plus a 3x zoom with the ability to expand upon that with extenders  great closeup mode  long lasting rechargable battery  etc etc, mode  chip  battery  zoom  etc,"['same', 'rechargable', 'great', 'closeup']","['-missing-', '-missing-', 'positive', '-missing-']",closeup mode[+2] battery[+2]
345,in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use  small good for travel  and provides excellent  sharp images , camera  images  provides,"['excellent', 'sharp', 'small', 'best', 'provides']","['positive', 'positive', 'negative', 'positive', '-missing-']",camera[+3]
